r,0.117550872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpha,1.143868227,,,,Chi-squared,268.676419,137.4385966,201.3163492,180.3591879,53.01221907,47.66923368,5.795702321,6.546787953,9.903472627,0.801015586,0.003509365,1.673619156,0.746949159,0.051953389,0.669982987,1.446698496,2.920106673,0.734272143,1.602752343,3.122362125,1.482591083,4.611791032,8.316979972,4.323376721,6.711665536,4.412959345,2.52237315,0.443683532,2.863942048,3.934536379,53.13950325,,Chi-squared,1017.254592
,,,,,Expected,5108.45358,538.0616913,273.3959287,177.2182026,127.7166806,97.7412851,77.76960897,63.5954444,53.07372325,44.99643086,38.63179748,33.51102819,29.32018311,25.84131797,22.91855063,20.43755242,18.31265354,16.47845842,14.8842339,13.49005732,12.2641137,11.18076149,10.21912423,9.36204867,8.595323198,7.907083845,7.287357593,6.727707441,6.220953833,5.760954018,88.62616334,,df,28
,,,,-11948.20578,Actual,6280,810,508,356,210,166,99,84,76,51,39,41,34,27,19,15,11,13,10,7,8,4,1,3,1,2,3,5,2,1,20,,p-value,3.2071E-196
ID,responses,t,P(X=x),LL,Theoretical x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30+,,,
5651,171,17,#NUM!,-18.08165824,,0.722598997,0.079587021,0.04166761,0.027556892,0.020123468,0.015527117,0.012408543,0.0101606,0.008469914,0.007157816,0.006114737,0.005269623,0.004574319,0.003995002,0.003507202,0.003092772,0.002737968,0.00243219,0.002167134,0.001936202,0.001734091,0.001556492,0.001399867,0.00126129,0.00113832,0.001028909,0.000931322,0.000844088,0.000765947,0.000695821,0.007558727,,,
8714,0,1,0.928815652,-0.073844997,,0.928815652,0.050928079,0.013273838,0.004370298,0.00158879,0.000610292,0.000242801,9.89764E-05,4.10747E-05,1.72806E-05,7.34918E-06,3.153E-06,1.36255E-06,5.92416E-07,2.58913E-07,1.13664E-07,5.00941E-08,2.21533E-08,9.82674E-09,4.37076E-09,1.94877E-09,8.70802E-10,3.8989E-10,1.74885E-10,7.85752E-11,3.53574E-11,1.59326E-11,7.18881E-12,3.24752E-12,1.4687E-12,1.21669E-12,,,
8715,0,1,0.928815652,-0.073844997,,0.928815652,0.050928079,0.013273838,0.004370298,0.00158879,0.000610292,0.000242801,9.89764E-05,4.10747E-05,1.72806E-05,7.34918E-06,3.153E-06,1.36255E-06,5.92416E-07,2.58913E-07,1.13664E-07,5.00941E-08,2.21533E-08,9.82674E-09,4.37076E-09,1.94877E-09,8.70802E-10,3.8989E-10,1.74885E-10,7.85752E-11,3.53574E-11,1.59326E-11,7.18881E-12,3.24752E-12,1.4687E-12,1.21669E-12,,,
8718,0,1,0.928815652,-0.073844997,,0.928815652,0.050928079,0.013273838,0.004370298,0.00158879,0.000610292,0.000242801,9.89764E-05,4.10747E-05,1.72806E-05,7.34918E-06,3.153E-06,1.36255E-06,5.92416E-07,2.58913E-07,1.13664E-07,5.00941E-08,2.21533E-08,9.82674E-09,4.37076E-09,1.94877E-09,8.70802E-10,3.8989E-10,1.74885E-10,7.85752E-11,3.53574E-11,1.59326E-11,7.18881E-12,3.24752E-12,1.4687E-12,1.21669E-12,,,
8722,0,1,0.928815652,-0.073844997,,0.928815652,0.050928079,0.013273838,0.004370298,0.00158879,0.000610292,0.000242801,9.89764E-05,4.10747E-05,1.72806E-05,7.34918E-06,3.153E-06,1.36255E-06,5.92416E-07,2.58913E-07,1.13664E-07,5.00941E-08,2.21533E-08,9.82674E-09,4.37076E-09,1.94877E-09,8.70802E-10,3.8989E-10,1.74885E-10,7.85752E-11,3.53574E-11,1.59326E-11,7.18881E-12,3.24752E-12,1.4687E-12,1.21669E-12,,,
8723,0,1,0.928815652,-0.073844997,,0.928815652,0.050928079,0.013273838,0.004370298,0.00158879,0.000610292,0.000242801,9.89764E-05,4.10747E-05,1.72806E-05,7.34918E-06,3.153E-06,1.36255E-06,5.92416E-07,2.58913E-07,1.13664E-07,5.00941E-08,2.21533E-08,9.82674E-09,4.37076E-09,1.94877E-09,8.70802E-10,3.8989E-10,1.74885E-10,7.85752E-11,3.53574E-11,1.59326E-11,7.18881E-12,3.24752E-12,1.4687E-12,1.21669E-12,,,
